tourney_name,surface,draw_size,tourney_date,seed,name,hand,ht,age,rank,rank_points,score,best_of,round,minutes,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,result
Brisbane,Hard,32,20160104,4,Milos Raonic,R,196,25.02121834,14,2170,6-4 6-4,3,F,87,6,6,60,34,28,14,10,1,1,W
Brisbane,Hard,32,20160104,1,Roger Federer,R,185,34.40657084,3,8265,6-1 6-4,3,SF,60,6,0,49,27,23,12,9,0,1,W
Brisbane,Hard,32,20160104,4,Milos Raonic,R,196,25.02121834,14,2170,7-6(5) 7-6(5),3,SF,107,13,3,79,49,40,19,12,4,4,W
Brisbane,Hard,32,20160104,1,Roger Federer,R,185,34.40657084,3,8265,6-4 6-7(4) 6-4,3,QF,127,7,1,83,52,45,19,16,0,1,W
Brisbane,Hard,32,20160104,8,Dominic Thiem,R,,22.33538672,20,1600,2-6 7-6(4) 6-4,3,QF,119,6,0,84,55,41,20,15,0,2,W
Brisbane,Hard,32,20160104,4,Milos Raonic,R,196,25.02121834,14,2170,6-4 6-4,3,QF,76,12,4,52,29,27,12,10,0,1,W
Brisbane,Hard,32,20160104,7,Bernard Tomic,R,193,23.20328542,18,1675,6-3 1-6 6-3,3,QF,119,14,1,97,62,45,13,13,8,11,W
Brisbane,Hard,32,20160104,1,Roger Federer,R,185,34.40657084,3,8265,6-2 6-1,3,R16,55,2,1,40,22,18,12,7,1,1,W
Brisbane,Hard,32,20160104,,Grigor Dimitrov,R,188,24.63791923,28,1360,5-7 7-6(6) 6-2,3,R16,167,9,4,117,70,51,25,16,5,7,W
Brisbane,Hard,32,20160104,3,Marin Cilic,R,198,27.26625599,13,2405,7-5 7-6(3),3,R16,106,18,3,77,44,37,16,12,4,6,W
Brisbane,Hard,32,20160104,8,Dominic Thiem,R,,22.33538672,20,1600,6-3 6-2,3,R16,56,7,1,45,33,28,8,9,0,0,W
Brisbane,Hard,32,20160104,,Lucas Pouille,R,,21.86173854,78,672,7-6(5) 4-6 6-3,3,R16,122,13,4,106,57,45,24,15,9,11,W
Brisbane,Hard,32,20160104,4,Milos Raonic,R,196,25.02121834,14,2170,6-7(2) 6-1 6-4,3,R16,145,17,5,106,62,51,23,15,3,3,W
Brisbane,Hard,32,20160104,7,Bernard Tomic,R,193,23.20328542,18,1675,7-6(6) 4-6 7-6(4),3,R16,157,19,1,114,78,56,17,17,3,6,W
Brisbane,Hard,32,20160104,2,Kei Nishikori,R,178,26.01505818,8,4235,6-3 6-4,3,R16,89,5,2,61,40,29,13,10,5,6,W
Brisbane,Hard,32,20160104,,Tobias Kamke,R,180,29.62354552,277,185,6-2 6-4,3,R32,79,1,0,59,36,29,13,9,0,0,W
Brisbane,Hard,32,20160104,,Viktor Troicki,R,193,29.8973306,22,1487,7-6(3) 6-1,3,R32,70,3,2,56,34,28,13,10,1,3,W
Brisbane,Hard,32,20160104,,Grigor Dimitrov,R,188,24.63791923,28,1360,6-3 7-6(10),3,R32,125,8,6,81,46,36,18,11,6,7,W
Brisbane,Hard,32,20160104,,Hyeon Chung,R,,19.62765229,51,817,7-6(8) 6-4,3,R32,102,2,3,73,48,35,14,11,2,4,W
Brisbane,Hard,32,20160104,,Denis Kudla,R,180,23.38124572,69,719,4-6 6-3 6-2,3,R32,103,2,3,73,44,36,19,14,4,5,W
Brisbane,Hard,32,20160104,8,Dominic Thiem,R,,22.33538672,20,1600,3-6 6-4 6-3,3,R32,113,4,2,80,48,35,21,14,2,4,W
Brisbane,Hard,32,20160104,6,David Goffin,R,163,25.07597536,16,1880,6-4 6-4,3,R32,82,3,4,57,30,23,16,10,1,2,W
Brisbane,Hard,32,20160104,,Lucas Pouille,R,,21.86173854,78,672,4-6 6-3 7-5,3,R32,143,17,2,95,64,53,15,16,2,4,W
Brisbane,Hard,32,20160104,,Ivan Dodig,R,183,31.00342231,87,636,6-3 6-2,3,R32,67,11,2,49,30,24,13,9,0,0,W
Brisbane,Hard,32,20160104,7,Bernard Tomic,R,193,23.20328542,18,1675,6-4 6-3,3,R32,69,8,0,59,34,28,14,10,4,5,W
Brisbane,Hard,32,20160104,,Radek Stepanek,R,185,37.10335387,197,252,6-0 6-3,3,R32,67,3,2,48,25,18,16,8,2,2,W
Brisbane,Hard,32,20160104,,Mikhail Kukushkin,R,183,28.02464066,65,762,6-2 7-5,3,R32,84,1,3,67,36,27,20,10,3,3,W
Chennai,Hard,32,20160104,1,Stanislas Wawrinka,R,183,30.770705,4,6865,6-3 7-5,3,F,86,15,3,69,38,34,18,11,5,5,W
Chennai,Hard,32,20160104,1,Stanislas Wawrinka,R,183,30.770705,4,6865,6-3 6-4,3,SF,65,6,1,61,37,26,17,10,1,1,W
Chennai,Hard,32,20160104,8,Borna Coric,R,,19.137577,44,941,7-6(5) 6-7(5) 6-3,3,SF,176,17,1,134,92,66,20,17,8,11,W
Chennai,Hard,32,20160104,1,Stanislas Wawrinka,R,183,30.770705,4,6865,6-4 6-4,3,QF,77,14,0,51,38,31,8,10,0,1,W
Chennai,Hard,32,20160104,3,Benoit Paire,R,196,26.65845311,19,1633,6-4 7-5,3,QF,89,14,5,88,39,28,19,11,6,10,W
Chennai,Hard,32,20160104,8,Borna Coric,R,,19.137577,44,941,3-6 6-4 7-6(1),3,QF,150,9,2,97,60,43,21,15,5,8,W
Chennai,Hard,32,20160104,,Aljaz Bedene,R,181,26.46406571,45,939,6-7(5) 6-4 6-3,3,QF,138,9,2,101,63,50,24,16,3,3,W
Chennai,Hard,32,20160104,1,Stanislas Wawrinka,R,183,30.770705,4,6865,6-3 6-2,3,R16,52,6,1,44,28,23,13,9,0,0,W
Chennai,Hard,32,20160104,5,Guillermo Garcia Lopez,R,188,32.58590007,27,1430,7-6(5) 6-1,3,R16,85,4,4,81,44,34,19,10,9,9,W
Chennai,Hard,32,20160104,3,Benoit Paire,R,196,26.65845311,19,1633,7-5 7-5,3,R16,84,8,3,68,34,29,15,12,5,8,W
Chennai,Hard,32,20160104,,Thomas Fabbiano,R,,26.6091718,157,362,6-4 7-5,3,R16,77,0,2,61,43,31,9,11,1,3,W
Chennai,Hard,32,20160104,8,Borna Coric,R,,19.137577,44,941,6-2 7-5,3,R16,90,3,1,53,30,24,19,10,1,1,W
Chennai,Hard,32,20160104,4,Roberto Bautista Agut,R,,27.72347707,25,1480,6-4 6-1,3,R16,75,1,1,58,34,26,13,9,1,2,W
Chennai,Hard,32,20160104,,Aljaz Bedene,R,181,26.46406571,45,939,5-7 6-3 6-4,3,R16,131,13,2,93,53,44,23,16,6,7,W
Chennai,Hard,32,20160104,,Ramkumar Ramanathan,R,,21.15537303,248,209,3-6 6-4 6-4,3,R16,109,9,2,85,57,43,13,15,0,2,W
Chennai,Hard,32,20160104,,Andrey Rublev,R,,18.20670773,185,270,6-3 3-6 6-3,3,R32,103,0,2,79,48,33,20,14,1,3,W
Chennai,Hard,32,20160104,,Ante Pavic,R,,26.82819986,449,90,3-6 7-5 7-6(1),3,R32,124,12,2,96,54,44,26,16,3,4,W
Chennai,Hard,32,20160104,5,Guillermo Garcia Lopez,R,188,32.58590007,27,1430,4-6 7-5 6-2,3,R32,140,7,1,90,57,44,18,15,7,9,W
